followeeName,Final_Content_Similarity,Final_User_Affinity,User-Followee_Behaviour
mariakedemo,0.492732869748971,0.004901960784313725,NN
mentoringdevs,0.34498689539621014,0.00980392156862745,NN
potentialultd,0.41757726233933623,0.004901960784313725,NN
rm1sra,0.38711725526102203,0.004901960784313725,NN
Upworthy,0.2987015324680902,0.004901960784313725,NN
YesYoureSexist,0.8886188037449849,0.604901960784313725,BO
1AssortedLife,0,0.0,NN
AlexWehrley,0,0.0,NN
Android,0,0.0,NN
AndroidDev,0,0.0,NN
AnselElgort,0,0.0,NN
AparnaS_16,0,0.0,NN
BIZBoost,0,0.0,NN
BeingSalmanKhan,0,0.0,NN
BillGates,0,0.0,NN
BjornKHaugland,0,0.0,NN
CareerGodess1,0,0.0,NN
ChromiumDev,0,0.0,NN
ClaireShipman,0,0.0,NN
CrwdfundCreativ,0,0.0,NN
DamianoMe,0,0.0,NN
Decentralised_M,0,0.0,NN
EmmaWatson,0,0.0,NN
EmpowerWomenRR,0,0.0,NN
FLOTUS,0,0.0,NN
FLOTUS44,0,0.0,NN
FuzeUsWomen,0,0.0,NN
GCPcloud,0,0.0,NN
GirlsWhoCode,0,0.0,NN
GirlsinTech,0,0.0,NN
Gopher_Assist,0,0.0,NN
HansMVikdal,0,0.0,NN
HappyFeminist,0,0.0,NN
HuffPost,0,0.0,NN
HuffPostIndia,0,0.0,NN
HuffPostWomen,0,0.0,NN
IWITDoco,0,0.0,NN
Innerveigdtuw,0,0.0,NN
InnovasjonNorge,0,0.0,NN
Jilfred,0,0.0,NN
Jo_Miller,0,0.0,NN
JohannaCronin,0,0.0,NN
JustinTrudeau,0,0.0,NN
KeertiGautam,0,0.0,NN
Khushbu85751466,0,0.0,NN
KrohnTraaseth,0,0.0,NN
LDamour,0,0.0,NN
LeanInDC,0,0.0,NN
LeanInDallasOrg,0,0.0,NN
LeanInLou,0,0.0,NN
LeanInMSP,0,0.0,NN
LeanInNYC,0,0.0,NN
Lean_In_Tuks,0,0.0,NN
Livestream,0,0.0,NN
MI4Garcetti,0,0.0,NN
MN4Garcetti,0,0.0,NN
ManagerCI,0,0.0,NN
MightyNetworks,0,0.0,NN
Minerva_Panda_,0,0.0,NN
MsMagazine,0,0.0,NN
NishGosrani,0,0.0,NN
OneYoungWorld,0,0.0,NN
Oprah,0,0.0,NN
PMOIndia,0,0.0,NN
POTUS44,0,0.0,NN
Priyank50770740,0,0.0,NN
RiyaMRoy,0,0.0,NN
SE_MN_LeanIN,0,0.0,NN
SHERM8N,0,0.0,NN
Sabatekle,0,0.0,NN
SeanBeeson,0,0.0,NN
SidGupta234,0,0.0,NN
SiriouslySusan,0,0.0,NN
Snowden,0,0.0,NN
Spruke,0,0.0,NN
StoryPicker,0,0.0,NN
SurveyMonkey,0,0.0,NN
TEDNews,0,0.0,NN
TEDTalks,0,0.0,NN
TED_TALKS,0,0.0,NN
TEDxWomen,0,0.0,NN
TINYpulse,0,0.0,NN
Taarangana,0,0.0,NN
TaskRabbit,0,0.0,NN
ThePSF,0,0.0,NN
TheSoulfulEMU,0,0.0,NN
Theteamatx,0,0.0,NN
TristanYLovell,0,0.0,NN
TwitterOSS,0,0.0,NN
Vamplordharsh,0,0.0,NN
VibeCatch,0,0.0,NN
WE_Empowered,0,0.0,NN
WWCodeGuzman,0,0.0,NN
WWCodeParis,0,0.0,NN
Wharton,0,0.0,NN
WinSTEMplym,0,0.0,NN
Windows,0,0.0,NN
Wolfram_Alpha,0,0.0,NN
WomenintheWorld,0,0.0,NN
Womenworking,0,0.0,NN
WorkingWomanTV,0,0.0,NN
ZaypoProject,0,0.0,NN
_4Programmer,0,0.0,NN
_acehacker,0,0.0,NN
_taarangana,0,0.0,NN
_weboutsourcing,0,0.0,NN
aamir_khan,0,0.0,NN
abhishekangira,0,0.0,NN
adwords,0,0.0,NN
alispagnola,0,0.0,NN
allsweetness13,0,0.0,NN
ash_r_dhanush,0,0.0,NN
auniroy97,0,0.0,NN
bouali436,0,0.0,NN
canney_marine,0,0.0,NN
cmdit,0,0.0,NN
debjani_ghosh_,0,0.0,NN
