user,text,refined
ponguru,b'I am looking for full time #phdstudents full time #ResearchAssociates and #interns for #summer2018 to join Precog@I\xe2\x80\xa6 https://t.co/s7dflqLgp4',I look full time phdstudent full time researchassoci intern summer2018 join precog
ponguru,b'Ph.D. Thesis Defense #4 @prateekdewan Quality Assessment of Context-specific Content #SocialMedia 1430hrs IST Nov 1\xe2\x80\xa6 https://t.co/VYlpwJlFY0',phd thesi defens qualiti ass contextspecif content socialmedia ist nov
AcmIgdtuw,"b'D-day #ExplortoryDataScience workshop by @rishabhk_ (ACM student faculty advisor) - learned @Gephi , @Learn_Data an\xe2\x80\xa6 https://t.co/gsOAtoLsPF'",dday explortorydatasci workshop acm student faculti advisor learn an…
AcmIgdtuw,"b""Session on #DataScience by @rishabhk_ to enlighten student' skill in data analysis using @ThePSF &amp; R language https://t.co/nevfJ3D0DO""",session datasci enlighten student skill data analysi use amp R languag
ponguru,"b'Oh wonderful! Yes, will be teaching #HCIonNPTEL starting Jan 2018 Details https://t.co/YTam2oJt1a Teaser video\xe2\x80\xa6 https://t.co/CRxQlc9G6v'",Oh wonder ye teach hcionnptel start jan detail teaser video…
narendramodi,b'\xe0\xa4\xa6\xe0\xa5\x80\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xa8 \xe0\xa4\xaa\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb5 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xad\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x8f\xe0\xa4\x82\xe0\xa5\xa4 #HappyDiwali to everyone! https://t.co/pFQe9rYrSg',happydiwali everyon
ValaAfshar,"b'The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.\n\n\xe2\x80\x94Stephen Hawking\xe2\x80\xa6 https://t.co/IREYGbf0vm'",the greatest enemi knowledg ignor illus knowledg hawking…
ponguru,b'#OpenHouse #Btech #admissions #classof2022 @IIITDelhi https://t.co/IK3t6HXLQi #aspirant Join / Share! #deangiri \\c @AhujaSheetu',openhous btech admiss classof2022 aspir join share deangiri
contactkakkar,"b""We're hiring here at MongoDB. I'd love to help you get an interview, follow the link if you're interested. https://t.co/cL1u7Sb4iL""",were hire mongodb Id love help get interview follow link your interest
acmDIS,b'DIS 2018 @acmDIS CfP has been clarified: DIS18 has a theme but please go ahead to submit papers that are not within\xe2\x80\xa6 https://t.co/zQV37JZkAr',di dis18 theme plea go ahead submit paper within…
AcmIgdtuw,b'Introduction of ACM student chapter activities to audience by @rishabhk_  ( Faculty advisor ) https://t.co/dt7UzqZDJx',introduct acm student chapter activ audienc faculti advisor
AcmIgdtuw,b'Groupfie With MongoDB experts with ACM student faculty advisor @rishabhk_  \xf0\x9f\x98\x8e\xf0\x9f\x99\x8b https://t.co/MsLNUc57sj',groupfi with mongodb expert acm student faculti advisor
AcmIgdtuw,b'Session on MongoDB by ACM student chapter @rishabhk_ facilitating Mr.Ankur from @MongoDB https://t.co/L4DKg4e4YR',session mongodb acm student chapter facilit mrankur
AcmIgdtuw,b'Session by experts from @MongoDB  (1) cc/ @rishabhk_ https://t.co/h4RzrV9MBN',session expert cc/
ponguru,b'Offering Introduction to #HCI on NPTEL Jan - April 2018. https://t.co/poxLOmlqwq Please spread #HCIonNPTEL\xe2\x80\xa6 https://t.co/gX6BOfLwAu',offer introduct hci nptel jan april plea spread hcionnptel…
ponguru,b'45+ aspirants from different institutes in #delhi #graduateschool  #admissions FAQs at https://t.co/Tu8rVlXHLr #GRE\xe2\x80\xa6 https://t.co/GmUeWJYv03',aspir differ institut delhi graduateschool admiss faq gre…
singh_prakash,b'Smart cities must have SMART Police.',smart citi must sma polic
singh_prakash,"b'We cannot have a progressive, modern India with a colonial police.\nSupport Police Reforms.\nhttps://t.co/OI3hgriC4y'",We progress modern india coloni polic support polic reform
Innerveigdtuw,"b""We're going live!\n\nThe 3rd edition of Innerve, the tech fest of IGDTUW is almost here and our website is now live.\xe2\x80\xa6 https://t.co/msMht7q1AD""",were go live the edit innerv tech fest igdtuw almost websit live…
ponguru,"b'50+ Registered, 65 Going, and 150 Interested for this Session on #graduateschool #admissions\xe2\x80\xa6 https://t.co/mTvkAEynRG'",regist go interest session graduateschool admissions…
socinformatics,b'The lightning talks have stimulated some excellent discussion at the poster session on day 2 of #SocInfo17 https://t.co/s6aIpatzis',the lightn talk stimul excel discus poster session day socinfo17
caosoriot,b'Me presenting \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8f\xab #SocInfo17 @socinformatics https://t.co/K6GsCJbSBG',Me present socinfo17
miriam_fs,b'@socinformatics  #socinfo17 Keynote @ginasue: Are we more than the sum of our data?',are sum data
oiioxford,b'We are back for Day 2 of @socinformatics starting with Keynote @ginasue Making sense of self-tracking data\xe2\x80\xa6 https://t.co/Nmd7akmpuR',We back day start keynot make sen selftrack data…
TahaYasseri,b'The First Keynote by @jengolbeck at @socinformatics #SocInfo17: privacy and personalization on social media https://t.co/DlmieP9P9r',the first keynot privaci person social medium
socinformatics,b'Welcome to #SocInfo17! https://t.co/5inerpeib1 https://t.co/hnfkjK1LL0',welcom socinfo17
TahaYasseri,b'Welcome to @socinformatics by @HelenMargetts director of @oiioxford #SocInfo17 https://t.co/TUdItTqnka',welcom director socinfo17
ponguru,b'You can find all the recorded lectures at https://t.co/5drNObS96K Thank you for the interest! https://t.co/L6nlj9jfDc',you find record lectur thank interest
ponguru,b'Research on #Facebook #freebasics by https://t.co/pG7iOm90tY . students @IIITDelhi accepted at #ICTD2017 Paper\xe2\x80\xa6 https://t.co/jMkfevN1EV',research facebook freebas student accept ictd2017 paper…
ponguru,b'150+ engaging participants at my #Keynote @PyDataDelhi   #DataScience for #SocialGood #PyDataDelhi17 #Python Slides\xe2\x80\xa6 https://t.co/RqFQQwoYzq',engag particip keynot datasci socialgood pydatadelhi17 python slides…
