followeeName,retweet_similarity,mention_similarity,fav_similarity,TextualScore
eredmil1,0.08379088736117063,0.08379088736117063,,0.88456178100248
euro_css,0.07962302178743162,0.07962302178743162,,0.8405625501673384
futureofprivacy,0.09405834016700586,0.09405834016700586,,0.99295299902528
gboeing,0.08049832345651729,0.08049832345651729,,0.8498029154111567
GDanezis,0.0840918765891166,0.0840918765891166,,0.8877392574073644
gianluca_string,0.07083031319846798,0.07083031319846798,,0.7477398791796848
godvinayak,0.07210534650477625,0.07210534650477625,0.07210534650477625,0.7612001225042849
GoI_MeitY,0,0.07648009162706633,,0.4036916673842318
goodfellow_ian,0.06573188942337375,0.06573188942337375,,0.69391695216659
himani_sharma9,0.051714717883927126,0.051714717883927126,0.0650231660110876,0.5927722299196513
HRDMinistry,0.07593631703657883,0.07244083775218488,,0.78319232814839
IC2S2,0.074965415162717,0.074965415162717,,0.7913932318689415
icwsm,0.07878975411877036,0.07220714408627134,,0.7970203527406338
IEEEDSAA,0.08798651005629272,0.08798651005629272,,0.9288540376009161
IIITDelhi,0.09588298774102615,0.06290756604687305,0.09588298774102615,0.8961773313050001
JaneYakowitz,0.06413033905306033,0.06413033905306033,0.06413033905306033,0.6770097407436672
jeffbigham,0.07740820438068892,0.07740820438068892,,0.8171812148980391
jengolbeck,0.0883341543199051,0.06849620610059771,,0.8278116349983161
jure,0.08101056254804245,0.08101056254804245,,0.8552105096898225
KalamCenter,0.06796472726056804,0.06890859154479716,0.05702465526337619,0.6823126105019222
kdnuggets,0.064020430348723,0.048015322761542245,,0.5913682766002981
knoesis,0.07773921217248288,0.07773921217248288,,0.820675590611867
KristinaLerman,0.07861770888169606,0.07861770888169606,,0.8299496851844295
ksd24497,0.08985127620398999,0.08985127620398999,0.08646124772550096,0.9366107003562778
lajello,0.08757193990583931,0.08757193990583931,,0.9244775126328146
LtGovDelhi,0.07219773262650483,0.07219773262650483,0.0668118022681613,0.7432227322202853
MaxCRoser,0.09011293070479517,0.08392123684863603,,0.9186200197569814
miriam_fs,0.050759343141951484,0.050759343141951484,0.050759343141951484,0.5358551077114806
msalganik,0.08584141534354006,0.08722727634456187,,0.9135238626577648
MSFTResearch,0.08021714133387875,0.07428662663051722,,0.8155309751828282
mygovindia,0.09472587348981983,0.09472587348981983,,1.0
narendramodi,0.06567663804858706,0.07064838199617339,0.06524843744922519,0.7093220682226408
ndiakopoulos,0.06304409383779526,0.06304409383779526,,0.6655424913507987
niharikasachdev,0.07609584646887102,0.07199925626107004,,0.7817035476894114
niituniversity,0.08356032595925388,0.08356032595925388,,0.8821277955091551
nikitab,0.07020864220602172,0.07020864220602172,,0.7411770366368491
PET_Symposium,0.07512974797060624,0.07471901855860201,,0.7909600672371339
PMOIndia,0.055886814664838656,0.057909343076226784,0.055886814664838656,0.5971018130336547
ponguru,0.06623618479574049,0.06591559915162619,0.0620938754731548,0.6835360895049686
prateekdewan,0.060360947642835706,0.06521687866570697,0.0634032373238283,0.6650103668268301
PrivacyMatters,0.0730089905421918,0.0730089905421918,0.0843906939561878,0.81079106320877
ProfFeynman,0.07371447292659598,0.07371447292659598,0.06414744721190627,0.7445216576716193
proffnes,0.07330431928414674,0.07330431928414674,,0.7738574117453215
rachayita_giri,0.06942323606220141,0.06942323606220141,0.06849963932209427,0.7296356099539532
RachitUppal,0.06781736551206233,0.07070494088373032,0.05828966610727851,0.6925667551791698
random_walker,0.08001204173799903,0.08054325836649256,,0.8474733153120327
rmsherman,0.07535696522377076,0.06341356521256135,0.07739118846754232,0.7606570797052096
rohan_iitj,0.059929162916904755,0.05789861178676051,0.07795596336269575,0.6889484743482883
Ronald_vanLoon,0.06679319465006951,0.06679319465006951,,0.7051209156413614
SagarJoglekar,0.08309125074883922,0.08309125074883922,,0.8771758727331136
saravade,0.07797856061896752,0.06454312083274553,,0.7522848626306404
sigchi,0.0498004181490701,0.06633825331851508,,0.6130250753510685
singh_prakash,0.07840207070555716,0.07449949187270943,0.08241017030308112,0.8280445606259014
smittal_ips,0.04562568936630019,0.04562568936630019,,0.4816602654099946
socinformatics,0.0701398821558195,0.05993926719650762,0.06050669353351709,0.6706574661685101
Srishti_Gupta14,0.06700902532107965,0.064388939070313,0.07924959327293826,0.7412531546866449
Straithe,0.08845090740194012,0.08845090740194012,,0.9337565771979492
UKAISconference,0.07821313644775987,0.07821313644775987,,0.8256787038882827
USENIXSecurity,0.0,0.0,,0.0
VasuGhs,0.07156867005923274,0.07156867005923274,0.07097473894787962,0.7534445489149828
YathShar,0.05191478412667666,0.05191478412667666,,0.5480528414684498
_DigitalIndia,0.06408373963212659,0.06486384670202854,0.0652219779102043,0.6832683162157268
acm_ccs,,0.06986181861942722,,0.7375156970913048
acm_igdtuw,,0.06764517275039994,,0.7141150591519196
caosoriot,,0.05545068872299799,0.04355104363584403,0.5225696460296126
CERCatIIITD,,0.07879544466988939,,0.8318260024106034
Indiaacm,,0.04675557586135313,,0.49358822609725467
ingmarweber,,0.08111707636909116,,0.8563349524331259
Innerveigdtuw,,0.057337120537773616,0.07908088514758717,0.7200672881629411
mmoberoi,,0.08013522429169997,,0.845969758202463
niharikakohli29,,0,0.07503208675355251,0.3960485345200654
precog_iiitd,,0.06585050759432695,,0.6951691778424602
SIH2018,,0.06195439989900305,,0.6540388345499003
nemesismedusa,,,0.06262182833937308,0.6610847283039626
